n pokedex,nome,geração,tipo 1,tipo 2,vida,ataque,defesa,velocidade,sp ataque,sp defesa,total atr,md atr,altura m,peso kg,% macho,xp evolução,taxa de captura,classificação,lendário,habilidades,contra inseto,contra escuridão,contra dragão,contra elétrico,contra fada,contra lutador,contra fogo,contra voador,contra fantasma,contra planta,contra terra,contra gelo,contra normal,contra venenoso,contra psíquico,contra pedra,contra aço,contra água
82,Magneton,1,elétrico,aço,50,60,95,70,120,70,465,77.5,1.0,60.0,,1000000,60.0,Pokémon Ímã,False,"['Magnet Pull', 'Sturdy', 'Analytic']",0.5,1.0,0.5,0.5,0.5,2.0,2.0,0.25,1.0,0.5,4.0,0.5,0.5,0.0,0.5,0.5,0.25,1.0
83,Farfetch'd,1,normal,voador,52,90,55,60,58,62,377,62.833333333333336,0.8,15.0,50.0,1000000,45.0,Pokémon Pato Selvagem,False,"['Keen Eye', 'Inner Focus', 'Defiant']",0.5,1.0,1.0,2.0,1.0,1.0,1.0,1.0,0.0,0.5,0.0,2.0,1.0,1.0,1.0,2.0,1.0,1.0
84,Doduo,1,normal,voador,35,85,45,75,35,35,310,51.666666666666664,1.4,39.2,50.0,1000000,190.0,Pokémon Pássaro Gêmeo,False,"['Run Away', 'Early Bird', 'Tangled Feet']",0.5,1.0,1.0,2.0,1.0,1.0,1.0,1.0,0.0,0.5,0.0,2.0,1.0,1.0,1.0,2.0,1.0,1.0
85,Dodrio,1,normal,voador,60,110,70,110,60,60,470,78.33333333333333,1.8,85.2,50.0,1000000,45.0,Pokémon Pássaro Triplo,False,"['Run Away', 'Early Bird', 'Tangled Feet']",0.5,1.0,1.0,2.0,1.0,1.0,1.0,1.0,0.0,0.5,0.0,2.0,1.0,1.0,1.0,2.0,1.0,1.0
86,Seel,1,água,,65,45,55,45,45,70,325,54.166666666666664,1.1,90.0,50.0,1000000,190.0,Pokémon Leão Marinho,False,"['Thick Fat', 'Hydration', 'Ice Body']",1.0,1.0,1.0,2.0,1.0,1.0,0.5,1.0,1.0,2.0,1.0,0.5,1.0,1.0,1.0,1.0,0.5,0.5
87,Dewgong,1,água,gelo,90,70,80,70,70,95,475,79.16666666666667,1.7,120.0,50.0,1000000,75.0,Pokémon Leão Marinho,False,"['Thick Fat', 'Hydration', 'Ice Body']",1.0,1.0,1.0,2.0,1.0,2.0,1.0,1.0,1.0,2.0,1.0,0.25,1.0,1.0,1.0,2.0,1.0,0.5
88,Grimer,1,venenoso,venenoso,80,80,50,25,40,50,325,54.166666666666664,,,50.0,1000000,190.0,Pokémon Lama,False,"['Stench', 'Sticky Hold', 'Poison Touch', 'Poison Touch', 'Gluttony', 'Power of Alchemy']",0.5,1.0,1.0,1.0,0.5,0.5,1.0,1.0,1.0,0.5,2.0,1.0,1.0,0.5,2.0,1.0,1.0,1.0
89,Muk,1,venenoso,venenoso,105,105,75,50,65,100,500,83.33333333333333,,,50.0,1000000,75.0,Pokémon Lama,False,"['Stench', 'Sticky Hold', 'Poison Touch', 'Poison Touch', 'Gluttony', 'Power of Alchemy']",0.5,1.0,1.0,1.0,0.5,0.5,1.0,1.0,1.0,0.5,2.0,1.0,1.0,0.5,2.0,1.0,1.0,1.0
90,Shellder,1,água,,30,65,100,40,45,25,305,50.833333333333336,0.3,4.0,50.0,1250000,190.0,Pokémon Bivalve,False,"['Shell Armor', 'Skill Link', 'Overcoat']",1.0,1.0,1.0,2.0,1.0,1.0,0.5,1.0,1.0,2.0,1.0,0.5,1.0,1.0,1.0,1.0,0.5,0.5
91,Cloyster,1,água,gelo,50,95,180,70,85,45,525,87.5,1.5,132.5,50.0,1250000,60.0,Pokémon Bivalve,False,"['Shell Armor', 'Skill Link', 'Overcoat']",1.0,1.0,1.0,2.0,1.0,2.0,1.0,1.0,1.0,2.0,1.0,0.25,1.0,1.0,1.0,2.0,1.0,0.5
92,Gastly,1,fantasma,venenoso,30,35,30,80,100,35,310,51.666666666666664,1.3,0.1,50.0,1059860,190.0,Pokémon Gás,False,['Levitate'],0.25,2.0,1.0,1.0,0.5,0.0,1.0,1.0,2.0,0.5,2.0,1.0,0.0,0.25,2.0,1.0,1.0,1.0
93,Haunter,1,fantasma,venenoso,45,50,45,95,115,55,405,67.5,1.6,0.1,50.0,1059860,90.0,Pokémon Gás,False,['Levitate'],0.25,2.0,1.0,1.0,0.5,0.0,1.0,1.0,2.0,0.5,2.0,1.0,0.0,0.25,2.0,1.0,1.0,1.0
94,Gengar,1,fantasma,venenoso,60,65,80,130,170,95,600,100.0,1.5,40.5,50.0,1059860,45.0,Pokémon Sombra,False,['Cursed Body'],0.25,2.0,1.0,1.0,0.5,0.0,1.0,1.0,2.0,0.5,2.0,1.0,0.0,0.25,2.0,1.0,1.0,1.0
95,Onix,1,pedra,terra,35,45,160,70,30,45,385,64.16666666666667,8.8,210.0,50.0,1000000,45.0,Pokémon Serpente de Rocha,False,"['Rock Head', 'Sturdy', 'Weak Armor']",1.0,1.0,1.0,0.0,1.0,2.0,0.5,0.5,1.0,4.0,2.0,2.0,0.5,0.25,1.0,0.5,2.0,4.0
96,Drowzee,1,psíquico,,60,48,45,42,43,90,328,54.666666666666664,1.0,32.4,50.0,1000000,190.0,Pokémon Hipnose,False,"['Insomnia', 'Forewarn', 'Inner Focus']",2.0,2.0,1.0,1.0,1.0,0.5,1.0,1.0,2.0,1.0,1.0,1.0,1.0,1.0,0.5,1.0,1.0,1.0
97,Hypno,1,psíquico,,85,73,70,67,73,115,483,80.5,1.6,75.6,50.0,1000000,75.0,Pokémon Hipnose,False,"['Insomnia', 'Forewarn', 'Inner Focus']",2.0,2.0,1.0,1.0,1.0,0.5,1.0,1.0,2.0,1.0,1.0,1.0,1.0,1.0,0.5,1.0,1.0,1.0
98,Krabby,1,água,,30,105,90,50,25,25,325,54.166666666666664,0.4,6.5,50.0,1000000,225.0,Pokémon Caranguejo de Rio,False,"['Hyper Cutter', 'Shell Armor', 'Sheer Force']",1.0,1.0,1.0,2.0,1.0,1.0,0.5,1.0,1.0,2.0,1.0,0.5,1.0,1.0,1.0,1.0,0.5,0.5
99,Kingler,1,água,,55,130,115,75,50,50,475,79.16666666666667,1.3,60.0,50.0,1000000,60.0,Pokémon Pinça,False,"['Hyper Cutter', 'Shell Armor', 'Sheer Force']",1.0,1.0,1.0,2.0,1.0,1.0,0.5,1.0,1.0,2.0,1.0,0.5,1.0,1.0,1.0,1.0,0.5,0.5
100,Voltorb,1,elétrico,,40,30,50,100,55,55,330,55.0,0.5,10.4,,1000000,190.0,Pokémon Bola,False,"['Soundproof', 'Static', 'Aftermath']",1.0,1.0,1.0,0.5,1.0,1.0,1.0,0.5,1.0,1.0,2.0,1.0,1.0,1.0,1.0,1.0,0.5,1.0
101,Electrode,1,elétrico,,60,50,70,150,80,80,490,81.66666666666667,1.2,66.6,,1000000,60.0,Pokémon Bola,False,"['Soundproof', 'Static', 'Aftermath']",1.0,1.0,1.0,0.5,1.0,1.0,1.0,0.5,1.0,1.0,2.0,1.0,1.0,1.0,1.0,1.0,0.5,1.0
102,Exeggcute,1,planta,psíquico,60,40,80,40,60,45,325,54.166666666666664,0.4,2.5,50.0,1250000,90.0,Pokémon Ovo,False,"['Chlorophyll', 'Harvest']",4.0,2.0,1.0,0.5,1.0,0.5,2.0,2.0,2.0,0.5,0.5,2.0,1.0,2.0,0.5,1.0,1.0,0.5
103,Exeggutor,1,planta,psíquico,95,105,85,45,125,75,530,88.33333333333333,,,50.0,1250000,45.0,Pokémon Coco,False,"['Chlorophyll', 'Harvest', 'Frisk', 'Harvest']",4.0,2.0,1.0,0.5,1.0,0.5,2.0,2.0,2.0,0.5,0.5,2.0,1.0,2.0,0.5,1.0,1.0,0.5
104,Cubone,1,terra,,50,50,95,35,40,50,320,53.333333333333336,0.4,6.5,50.0,1000000,190.0,Pokémon Solitário,False,"['Rock Head', 'Lightningrod', 'Battle Armor']",1.0,1.0,1.0,0.0,1.0,1.0,1.0,1.0,1.0,2.0,1.0,2.0,1.0,0.5,1.0,0.5,1.0,2.0
105,Marowak,1,terra,fogo,60,80,110,45,50,80,425,70.83333333333333,,,50.0,1000000,75.0,Pokémon Guarda de Ossos,False,"['Rock Head', 'Lightningrod', 'Battle Armor', 'Cursed Body', 'Lightningrod', 'Rock Head']",1.0,1.0,1.0,0.0,1.0,1.0,1.0,1.0,1.0,2.0,1.0,2.0,1.0,0.5,1.0,0.5,1.0,2.0
106,Hitmonlee,1,lutador,,50,120,53,87,35,110,455,75.83333333333333,1.5,49.8,100.0,1000000,45.0,Pokémon Chutador,False,"['Limber', 'Reckless', 'Unburden']",0.5,0.5,1.0,1.0,2.0,1.0,1.0,2.0,1.0,1.0,1.0,1.0,1.0,1.0,2.0,0.5,1.0,1.0
107,Hitmonchan,1,lutador,,50,105,79,76,35,110,455,75.83333333333333,1.4,50.2,100.0,1000000,45.0,Pokémon Socador,False,"['Keen Eye', 'Iron Fist', 'Inner Focus']",0.5,0.5,1.0,1.0,2.0,1.0,1.0,2.0,1.0,1.0,1.0,1.0,1.0,1.0,2.0,0.5,1.0,1.0
108,Lickitung,1,normal,,90,55,75,30,60,75,385,64.16666666666667,1.2,65.5,50.0,1000000,45.0,Pokémon Lambedor,False,"['Own Tempo', 'Oblivious', 'Cloud Nine']",1.0,1.0,1.0,1.0,1.0,2.0,1.0,1.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
109,Koffing,1,venenoso,,40,65,95,35,60,45,340,56.666666666666664,0.6,1.0,50.0,1000000,190.0,Pokémon Gás Venenoso,False,['Levitate'],0.5,1.0,1.0,1.0,0.5,0.5,1.0,1.0,1.0,0.5,2.0,1.0,1.0,0.5,2.0,1.0,1.0,1.0
110,Weezing,1,venenoso,,65,90,120,60,85,70,490,81.66666666666667,1.2,9.5,50.0,1000000,60.0,Pokémon Gás Venenoso,False,['Levitate'],0.5,1.0,1.0,1.0,0.5,0.5,1.0,1.0,1.0,0.5,2.0,1.0,1.0,0.5,2.0,1.0,1.0,1.0
111,Rhyhorn,1,terra,pedra,80,85,95,25,30,30,345,57.5,1.0,115.0,50.0,1250000,120.0,Pokémon Espinhos,False,"['Lightningrod', 'Rock Head', 'Reckless']",1.0,1.0,1.0,0.0,1.0,2.0,0.5,0.5,1.0,4.0,2.0,2.0,0.5,0.25,1.0,0.5,2.0,4.0
112,Rhydon,1,terra,pedra,105,130,120,40,45,45,485,80.83333333333333,1.9,120.0,50.0,1250000,60.0,Pokémon Broca,False,"['Lightningrod', 'Rock Head', 'Reckless']",1.0,1.0,1.0,0.0,1.0,2.0,0.5,0.5,1.0,4.0,2.0,2.0,0.5,0.25,1.0,0.5,2.0,4.0
113,Chansey,1,normal,,250,5,5,50,35,105,450,75.0,1.1,34.6,0.0,800000,30.0,Pokémon Ovo,False,"['Natural Cure', 'Serene Grace', 'Healer']",1.0,1.0,1.0,1.0,1.0,2.0,1.0,1.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
114,Tangela,1,planta,,65,55,115,60,100,40,435,72.5,1.0,35.0,50.0,1000000,45.0,Pokémon Vinha,False,"['Chlorophyll', 'Leaf Guard', 'Regenerator']",2.0,1.0,1.0,0.5,1.0,1.0,2.0,2.0,1.0,0.5,0.5,2.0,1.0,2.0,1.0,1.0,1.0,0.5
115,Kangaskhan,1,normal,,105,125,100,100,60,100,590,98.33333333333333,2.2,80.0,0.0,1000000,45.0,Pokémon Parente,False,"['Early Bird', 'Scrappy', 'Inner Focus']",1.0,1.0,1.0,1.0,1.0,2.0,1.0,1.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
116,Horsea,1,água,,30,40,70,60,70,25,295,49.166666666666664,0.4,8.0,50.0,1000000,225.0,Pokémon Dragão,False,"['Swift Swim', 'Sniper', 'Damp']",1.0,1.0,1.0,2.0,1.0,1.0,0.5,1.0,1.0,2.0,1.0,0.5,1.0,1.0,1.0,1.0,0.5,0.5
117,Seadra,1,água,,55,65,95,85,95,45,440,73.33333333333333,1.2,25.0,50.0,1000000,75.0,Pokémon Dragão,False,"['Poison Point', 'Sniper', 'Damp']",1.0,1.0,1.0,2.0,1.0,1.0,0.5,1.0,1.0,2.0,1.0,0.5,1.0,1.0,1.0,1.0,0.5,0.5
118,Goldeen,1,água,,45,67,60,63,35,50,320,53.333333333333336,0.6,15.0,50.0,1000000,225.0,Pokémon Peixe Dourado,False,"['Swift Swim', 'Water Veil', 'Lightningrod']",1.0,1.0,1.0,2.0,1.0,1.0,0.5,1.0,1.0,2.0,1.0,0.5,1.0,1.0,1.0,1.0,0.5,0.5
119,Seaking,1,água,,80,92,65,68,65,80,450,75.0,1.3,39.0,50.0,1000000,60.0,Pokémon Peixe Dourado,False,"['Swift Swim', 'Water Veil', 'Lightningrod']",1.0,1.0,1.0,2.0,1.0,1.0,0.5,1.0,1.0,2.0,1.0,0.5,1.0,1.0,1.0,1.0,0.5,0.5
120,Staryu,1,água,,30,45,55,85,70,55,340,56.666666666666664,0.8,34.5,,1250000,225.0,Pokémon Estrela,False,"['Illuminate', 'Natural Cure', 'Analytic']",1.0,1.0,1.0,2.0,1.0,1.0,0.5,1.0,1.0,2.0,1.0,0.5,1.0,1.0,1.0,1.0,0.5,0.5
121,Starmie,1,água,psíquico,60,75,85,115,100,85,520,86.66666666666667,1.1,80.0,,1250000,60.0,Pokémon Misterioso,False,"['Illuminate', 'Natural Cure', 'Analytic']",2.0,2.0,1.0,2.0,1.0,0.5,0.5,1.0,2.0,2.0,1.0,0.5,1.0,1.0,0.5,1.0,0.5,0.5
122,Mr. Mime,1,psíquico,fada,40,45,65,90,100,120,460,76.66666666666667,1.3,54.5,50.0,1000000,45.0,Pokémon Barreira,False,"['Soundproof', 'Filter', 'Technician']",1.0,1.0,0.0,1.0,1.0,0.25,1.0,1.0,2.0,1.0,1.0,1.0,1.0,2.0,0.5,1.0,2.0,1.0
123,Scyther,1,inseto,voador,70,110,80,105,55,80,500,83.33333333333333,1.5,56.0,50.0,1000000,45.0,Pokémon Louva-a-deus,False,"['Swarm', 'Technician', 'Steadfast']",0.5,1.0,1.0,2.0,1.0,0.25,2.0,2.0,1.0,0.25,0.0,2.0,1.0,1.0,1.0,4.0,1.0,1.0
124,Jynx,1,gelo,psíquico,65,50,35,95,115,95,455,75.83333333333333,1.4,40.6,0.0,1000000,45.0,Pokémon Forma Humana,False,"['Oblivious', 'Forewarn', 'Dry Skin']",2.0,2.0,1.0,1.0,1.0,1.0,2.0,1.0,2.0,1.0,1.0,0.5,1.0,1.0,0.5,2.0,2.0,1.0
125,Electabuzz,1,elétrico,,65,83,57,105,95,85,490,81.66666666666667,1.1,30.0,75.4,1000000,45.0,Pokémon Elétrico,False,"['Static', 'Vital Spirit']",1.0,1.0,1.0,0.5,1.0,1.0,1.0,0.5,1.0,1.0,2.0,1.0,1.0,1.0,1.0,1.0,0.5,1.0
126,Magmar,1,fogo,,65,95,57,93,100,85,495,82.5,1.3,44.5,75.4,1000000,45.0,Pokémon Arremesso de Fogo,False,"['Flame Body', 'Vital Spirit']",0.5,1.0,1.0,1.0,0.5,1.0,0.5,1.0,1.0,0.5,2.0,0.5,1.0,1.0,1.0,2.0,0.5,2.0
127,Pinsir,1,inseto,,65,155,120,105,65,90,600,100.0,1.5,55.0,50.0,1250000,45.0,Pokémon Besouro-de-chifre,False,"['Hyper Cutter', 'Mold Breaker', 'Moxie']",1.0,1.0,1.0,1.0,1.0,0.5,2.0,2.0,1.0,0.5,0.5,1.0,1.0,1.0,1.0,2.0,1.0,1.0
128,Tauros,1,normal,,75,100,95,110,40,70,490,81.66666666666667,1.4,88.4,100.0,1250000,45.0,Pokémon Touro Selvagem,False,"['Intimidate', 'Anger Point', 'Sheer Force']",1.0,1.0,1.0,1.0,1.0,2.0,1.0,1.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
129,Magikarp,1,água,,20,10,55,80,15,20,200,33.333333333333336,0.9,10.0,50.0,1250000,255.0,Pokémon Peixe,False,"['Swift Swim', 'Rattled']",1.0,1.0,1.0,2.0,1.0,1.0,0.5,1.0,1.0,2.0,1.0,0.5,1.0,1.0,1.0,1.0,0.5,0.5
130,Gyarados,1,água,voador,95,155,109,81,70,130,640,106.66666666666667,6.5,235.0,50.0,1250000,45.0,Pokémon Atroz,False,"['Intimidate', 'Moxie']",0.5,1.0,1.0,4.0,1.0,0.5,0.5,1.0,1.0,1.0,0.0,1.0,1.0,1.0,1.0,2.0,0.5,0.5
131,Lapras,1,água,gelo,130,85,80,60,85,95,535,89.16666666666667,2.5,220.0,50.0,1250000,45.0,Pokémon de Transporte,False,"['Water Absorb', 'Shell Armor', 'Hydration']",1.0,1.0,1.0,2.0,1.0,2.0,1.0,1.0,1.0,2.0,1.0,0.25,1.0,1.0,1.0,2.0,1.0,0.5
132,Ditto,1,normal,,48,48,48,48,48,48,288,48.0,0.3,4.0,,1000000,35.0,Pokémon Transformação,False,"['Limber', 'Imposter']",1.0,1.0,1.0,1.0,1.0,2.0,1.0,1.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
133,Eevee,1,normal,,55,55,50,55,45,65,325,54.166666666666664,0.3,6.5,88.1,1000000,45.0,Pokémon Evolução,False,"['Run Away', 'Adaptability', 'Anticipation']",1.0,1.0,1.0,1.0,1.0,2.0,1.0,1.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
134,Vaporeon,1,água,,130,65,60,65,110,95,525,87.5,1.0,29.0,88.1,1000000,45.0,Pokémon Jato de Bolhas,False,"['Water Absorb', 'Hydration']",1.0,1.0,1.0,2.0,1.0,1.0,0.5,1.0,1.0,2.0,1.0,0.5,1.0,1.0,1.0,1.0,0.5,0.5
135,Jolteon,1,elétrico,,65,65,60,130,110,95,525,87.5,0.8,24.5,88.1,1000000,45.0,Pokémon Relâmpago,False,"['Volt Absorb', 'Quick Feet']",1.0,1.0,1.0,0.5,1.0,1.0,1.0,0.5,1.0,1.0,2.0,1.0,1.0,1.0,1.0,1.0,0.5,1.0
136,Flareon,1,fogo,,65,130,60,65,95,110,525,87.5,0.9,25.0,88.1,1000000,45.0,Pokémon de Chama,False,"['Flash Fire', 'Guts']",0.5,1.0,1.0,1.0,0.5,1.0,0.5,1.0,1.0,0.5,2.0,0.5,1.0,1.0,1.0,2.0,0.5,2.0
137,Porygon,1,normal,,65,60,70,40,85,75,395,65.83333333333333,0.8,36.5,,1000000,45.0,Pokémon Virtual,False,"['Trace', 'Download', 'Analytic']",1.0,1.0,1.0,1.0,1.0,2.0,1.0,1.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
138,Omanyte,1,pedra,água,35,40,100,35,90,55,355,59.166666666666664,0.4,7.5,88.1,1000000,45.0,Pokémon Espiral,False,"['Swift Swim', 'Shell Armor', 'Weak Armor']",1.0,1.0,1.0,2.0,1.0,2.0,0.25,0.5,1.0,4.0,2.0,0.5,0.5,0.5,1.0,1.0,1.0,1.0
139,Omastar,1,pedra,água,70,60,125,55,115,70,495,82.5,1.0,35.0,88.1,1000000,45.0,Pokémon Espiral,False,"['Swift Swim', 'Shell Armor', 'Weak Armor']",1.0,1.0,1.0,2.0,1.0,2.0,0.25,0.5,1.0,4.0,2.0,0.5,0.5,0.5,1.0,1.0,1.0,1.0
140,Kabuto,1,pedra,água,30,80,90,55,55,45,355,59.166666666666664,0.5,11.5,88.1,1000000,45.0,Pokémon Marisco,False,"['Swift Swim', 'Battle Armor', 'Weak Armor']",1.0,1.0,1.0,2.0,1.0,2.0,0.25,0.5,1.0,4.0,2.0,0.5,0.5,0.5,1.0,1.0,1.0,1.0
141,Kabutops,1,pedra,água,60,115,105,80,65,70,495,82.5,1.3,40.5,88.1,1000000,45.0,Pokémon Marisco,False,"['Swift Swim', 'Battle Armor', 'Weak Armor']",1.0,1.0,1.0,2.0,1.0,2.0,0.25,0.5,1.0,4.0,2.0,0.5,0.5,0.5,1.0,1.0,1.0,1.0
142,Aerodactyl,1,pedra,voador,80,135,85,150,70,95,615,102.5,1.8,59.0,88.1,1250000,45.0,Pokémon Fóssil,False,"['Rock Head', 'Pressure', 'Unnerve']",0.5,1.0,1.0,2.0,1.0,1.0,0.5,0.5,1.0,1.0,0.0,2.0,0.5,0.5,1.0,2.0,2.0,2.0
143,Snorlax,1,normal,,160,110,65,30,65,110,540,90.0,2.1,460.0,88.1,1250000,25.0,Pokémon Dorminhoco,False,"['Immunity', 'Thick Fat', 'Gluttony']",1.0,1.0,1.0,1.0,1.0,2.0,1.0,1.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
144,Articuno,1,gelo,voador,90,85,100,85,95,125,580,96.66666666666667,1.7,55.4,,1250000,3.0,Pokémon Congelamento,True,"['Pressure', 'Snow Cloak']",0.5,1.0,1.0,2.0,1.0,1.0,2.0,1.0,1.0,0.5,0.0,1.0,1.0,1.0,1.0,4.0,2.0,1.0
145,Zapdos,1,elétrico,voador,90,90,85,100,125,90,580,96.66666666666667,1.6,52.6,,1250000,3.0,Pokémon Elétrico,True,"['Pressure', 'Static']",0.5,1.0,1.0,1.0,1.0,0.5,1.0,0.5,1.0,0.5,0.0,2.0,1.0,1.0,1.0,2.0,0.5,1.0
146,Moltres,1,fogo,voador,90,100,90,90,125,85,580,96.66666666666667,2.0,60.0,,1250000,3.0,Pokémon de Chama,True,"['Pressure', 'Flame Body']",0.25,1.0,1.0,2.0,0.5,0.5,0.5,1.0,1.0,0.25,0.0,1.0,1.0,1.0,1.0,4.0,0.5,2.0
147,Dratini,1,dragão,,41,64,45,50,50,50,300,50.0,1.8,3.3,50.0,1250000,45.0,Pokémon Dragão,False,"['Shed Skin', 'Marvel Scale']",1.0,1.0,2.0,0.5,2.0,1.0,0.5,1.0,1.0,0.5,1.0,2.0,1.0,1.0,1.0,1.0,1.0,0.5
148,Dragonair,1,dragão,,61,84,65,70,70,70,420,70.0,4.0,16.5,50.0,1250000,45.0,Pokémon Dragão,False,"['Shed Skin', 'Marvel Scale']",1.0,1.0,2.0,0.5,2.0,1.0,0.5,1.0,1.0,0.5,1.0,2.0,1.0,1.0,1.0,1.0,1.0,0.5
149,Dragonite,1,dragão,voador,91,134,95,80,100,100,600,100.0,2.2,210.0,50.0,1250000,45.0,Pokémon Dragão,False,"['Inner Focus', 'Multiscale']",0.5,1.0,2.0,1.0,2.0,0.5,0.5,1.0,1.0,0.25,0.0,4.0,1.0,1.0,1.0,2.0,1.0,0.5
150,Mewtwo,1,psíquico,,106,150,70,140,194,120,780,130.0,2.0,122.0,,1250000,3.0,Pokémon Genético,True,"['Pressure', 'Unnerve']",2.0,2.0,1.0,1.0,1.0,0.5,1.0,1.0,2.0,1.0,1.0,1.0,1.0,1.0,0.5,1.0,1.0,1.0
151,Mew,1,psíquico,,100,100,100,100,100,100,600,100.0,0.4,4.0,,1059860,45.0,Pokémon Nova Espécie,True,['Synchronize'],2.0,2.0,1.0,1.0,1.0,0.5,1.0,1.0,2.0,1.0,1.0,1.0,1.0,1.0,0.5,1.0,1.0,1.0
152,Chikorita,2,planta,,45,49,65,45,49,65,318,53.0,0.9,6.4,88.1,1059860,45.0,Pokémon Folha,False,"['Overgrow', 'Leaf Guard']",2.0,1.0,1.0,0.5,1.0,1.0,2.0,2.0,1.0,0.5,0.5,2.0,1.0,2.0,1.0,1.0,1.0,0.5
153,Bayleef,2,planta,,60,62,80,60,63,80,405,67.5,1.2,15.8,88.1,1059860,45.0,Pokémon Folha,False,"['Overgrow', 'Leaf Guard']",2.0,1.0,1.0,0.5,1.0,1.0,2.0,2.0,1.0,0.5,0.5,2.0,1.0,2.0,1.0,1.0,1.0,0.5
154,Meganium,2,planta,,80,82,100,80,83,100,525,87.5,1.8,100.5,88.1,1059860,45.0,Pokémon Erva,False,"['Overgrow', 'Leaf Guard']",2.0,1.0,1.0,0.5,1.0,1.0,2.0,2.0,1.0,0.5,0.5,2.0,1.0,2.0,1.0,1.0,1.0,0.5
155,Cyndaquil,2,fogo,,39,52,43,65,60,50,309,51.5,0.5,7.9,88.1,1059860,45.0,Pokémon Rato de Fogo,False,"['Blaze', 'Flash Fire']",0.5,1.0,1.0,1.0,0.5,1.0,0.5,1.0,1.0,0.5,2.0,0.5,1.0,1.0,1.0,2.0,0.5,2.0
156,Quilava,2,fogo,,58,64,58,80,80,65,405,67.5,0.9,19.0,88.1,1059860,45.0,Pokémon Vulcão,False,"['Blaze', 'Flash Fire']",0.5,1.0,1.0,1.0,0.5,1.0,0.5,1.0,1.0,0.5,2.0,0.5,1.0,1.0,1.0,2.0,0.5,2.0
157,Typhlosion,2,fogo,,78,84,78,100,109,85,534,89.0,1.7,79.5,88.1,1059860,45.0,Pokémon Vulcão,False,"['Blaze', 'Flash Fire']",0.5,1.0,1.0,1.0,0.5,1.0,0.5,1.0,1.0,0.5,2.0,0.5,1.0,1.0,1.0,2.0,0.5,2.0
158,Totodile,2,água,,50,65,64,43,44,48,314,52.333333333333336,0.6,9.5,88.1,1059860,45.0,Pokémon Mandíbula Grande,False,"['Torrent', 'Sheer Force']",1.0,1.0,1.0,2.0,1.0,1.0,0.5,1.0,1.0,2.0,1.0,0.5,1.0,1.0,1.0,1.0,0.5,0.5
159,Croconaw,2,água,,65,80,80,58,59,63,405,67.5,1.1,25.0,88.1,1059860,45.0,Pokémon Mandíbula Grande,False,"['Torrent', 'Sheer Force']",1.0,1.0,1.0,2.0,1.0,1.0,0.5,1.0,1.0,2.0,1.0,0.5,1.0,1.0,1.0,1.0,0.5,0.5
160,Feraligatr,2,água,,85,105,100,78,79,83,530,88.33333333333333,2.3,88.8,88.1,1059860,45.0,Pokémon Mandíbula Grande,False,"['Torrent', 'Sheer Force']",1.0,1.0,1.0,2.0,1.0,1.0,0.5,1.0,1.0,2.0,1.0,0.5,1.0,1.0,1.0,1.0,0.5,0.5
161,Sentret,2,normal,,35,46,34,20,35,45,215,35.833333333333336,0.8,6.0,50.0,1000000,255.0,Pokémon Explorador,False,"['Run Away', 'Keen Eye', 'Frisk']",1.0,1.0,1.0,1.0,1.0,2.0,1.0,1.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
162,Furret,2,normal,,85,76,64,90,45,55,415,69.16666666666667,1.8,32.5,50.0,1000000,90.0,Pokémon Corpo Longo,False,"['Run Away', 'Keen Eye', 'Frisk']",1.0,1.0,1.0,1.0,1.0,2.0,1.0,1.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
163,Hoothoot,2,normal,voador,60,30,30,50,36,56,262,43.666666666666664,0.7,21.2,50.0,1000000,255.0,Pokémon Coruja,False,"['Insomnia', 'Keen Eye', 'Tinted Lens']",0.5,1.0,1.0,2.0,1.0,1.0,1.0,1.0,0.0,0.5,0.0,2.0,1.0,1.0,1.0,2.0,1.0,1.0
164,Noctowl,2,normal,voador,100,50,50,70,86,96,452,75.33333333333333,1.6,40.8,50.0,1000000,90.0,Pokémon Coruja,False,"['Insomnia', 'Keen Eye', 'Tinted Lens']",0.5,1.0,1.0,2.0,1.0,1.0,1.0,1.0,0.0,0.5,0.0,2.0,1.0,1.0,1.0,2.0,1.0,1.0
165,Ledyba,2,inseto,voador,40,20,30,55,40,80,265,44.166666666666664,1.0,10.8,50.0,800000,255.0,Pokémon Cinco Estrelas,False,"['Swarm', 'Early Bird', 'Rattled']",0.5,1.0,1.0,2.0,1.0,0.25,2.0,2.0,1.0,0.25,0.0,2.0,1.0,1.0,1.0,4.0,1.0,1.0
